call_idx,turn_idx,sentence,act
0,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
0,1,hello and welcome to the cambridge,['hello']
0,2,what kind of food would you like?,['request']
0,3,moderately priced swedish food,['inform']
0,4,sorry there is no swedish restaurant in the moderate price range,['canthelp']
0,5,how about asian oriental,"['inform', 'reqalts']"
0,6,yippee noodle bar is a great restaurant serving asian oriental food and it is in the moderate price range,"['inform', 'offer']"
0,7,is there anything else,['reqalts']
0,8,can i help you with anything else?,['reqmore']
0,9,could i have the addresses and phone number,['request']
0,10,sure yippee noodle bar is on king street city centre,"['inform', 'offer']"
0,11,phone number,['request']
0,12,the phone number of yippee noodle bar is,"['inform', 'offer']"
0,13,thank you good bye,"['thankyou', 'bye']"
1,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
1,1,hello and welcome,['hello']
1,2,what part of town do you have in mind?,['request']
1,3,center,['inform']
1,4,what kind of food would you like?,['request']
1,5,catalan,['inform']
1,6,what kind of food would you like?,['request']
1,7,catalan,['inform']
1,8,what kind of food would you like?,['request']
1,9,italian,['inform']
1,10,would you like something in the cheap moderate or expensive price range?,['request']
1,11,moderate,['inform']
1,12,yippee noodle bar is a nice place in the centre of town and the prices are moderate,"['inform', 'offer']"
1,13,is there anything else,['reqalts']
1,14,cotto is a nice place in the centre of town and the prices are moderate,"['inform', 'offer']"
1,15,could i get the phone number and,['request']
1,16,the phone number of cotto is,"['inform', 'offer']"
1,17,price range,['request']
1,18,cotto is in the moderate price range,"['inform', 'offer']"
1,19,could i get the phone number and price range,['request']
1,20,the phone number of cotto is,"['inform', 'offer']"
1,21,thank you good bye,"['thankyou', 'bye']"
2,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
2,1,hello and welcome to the cambridge,['hello']
2,2,what part of town do you have in mind?,['request']
2,3,any part,['inform']
2,4,let me confirm you are looking for a restaurant in the cheap price range right?,['expl-conf']
2,5,i dont care about the price range,['inform']
2,6,what part of town do you have in mind?,['request']
2,7,uh world food,['inform']
2,8,i m sorry but there is no restaurant serving world food,['canthelp']
2,9,how about mediterranean food,"['inform', 'reqalts']"
2,10,sorry would you like world or mediterranean food?,['select']
2,11,mediterranean food,['inform']
2,12,the gardenia serves mediterranean food,"['inform', 'offer']"
2,13,is there anything else,['reqalts']
2,14,shiraz restaurant serves mediterranean food,"['inform', 'offer']"
2,15,could i have the addresses,['request']
2,16,sure shiraz restaurant is on regent street city centre,"['inform', 'offer']"
2,17,thank you good bye,"['thankyou', 'bye']"
3,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
3,1,noise,['null']
3,2,what part of town do you have in mind?,['request']
3,3,west part of town,['inform']
3,4,would you like something in the cheap moderate or expensive price range?,['request']
3,5,cheap,['inform']
3,6,la margherita is a nice restaurant in the west of town in the cheap price range,"['inform', 'offer']"
3,7,do you have another option anything else,['reqalts']
3,8,thanh binh is a nice restaurant in the west of town in the cheap price range,"['inform', 'offer']"
3,9,could have the phone number,['request']
3,10,the phone number of thanh binh is,"['inform', 'offer']"
3,11,thank you good bye,"['thankyou', 'bye']"
4,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
4,1,hello welcome to the cambridge system,['null']
4,2,what part of town do you have in mind?,['request']
4,3,east,['inform']
4,4,what kind of food would you like?,['request']
4,5,expensive,['inform']
4,6,what kind of food would you like?,['request']
4,7,any type,['inform']
4,8,yu garden is a nice place in the east of town and the prices are expensive,"['inform', 'offer']"
4,9,is there anything else,['reqalts']
4,10,sitar tandoori is a nice place in the east of town and the prices are expensive,"['inform', 'offer']"
4,11,could i have their phone number and the type of food,['request']
4,12,the phone number of sitar tandoori is,"['inform', 'offer']"
4,13,type of food,['request']
4,14,sitar tandoori serves indian food,"['inform', 'offer']"
4,15,thank you good bye,"['thankyou', 'bye']"
5,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
5,1,system,['null']
5,2,what part of town do you have in mind?,['request']
5,3,the center of town,['inform']
5,4,what kind of food would you like?,['request']
5,5,spanish,['inform']
5,6,would you like something in the cheap moderate or expensive price range?,['request']
5,7,it doesnt matter,['inform']
5,8,la raza is a nice place in the centre of town serving tasty spanish food,"['inform', 'offer']"
5,9,is there anything else,['reqalts']
5,10,la tasca is a nice place in the centre of town serving tasty spanish food,"['inform', 'offer']"
5,11,could you give the addresses phone number and post code,['request']
5,12,the phone number of la tasca is and it is on bridge street,"['inform', 'offer']"
5,13,thank you good bye,"['thankyou', 'bye']"
6,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
6,1,restaurant in the south part of town that serves mexican food,['inform']
6,2,chiquito restaurant bar is a nice restaurant in the south of town serving mexican food,"['inform', 'offer']"
6,3,whats the addresses phone number and price range,['request']
6,4,the phone number of chiquito restaurant bar is and it is on g cambridge leisure park cherry hinton road cherry hinton,"['inform', 'offer']"
6,5,whats the price range,['request']
6,6,chiquito restaurant bar is in the expensive price range,"['inform', 'offer']"
6,7,okay thank you,['thankyou']
6,8,can i help you with anything else?,['reqmore']
6,9,no,['negate']
6,10,can i help you with anything else?,['reqmore']
6,11,no thank you,['negate']
7,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
7,1,um im looking for a restaurant in the center part of town that serves lebanese food,['inform']
7,2,ali baba is a nice place in the centre of town serving tasty lebanese food,"['inform', 'offer']"
7,3,whats the addresses and phone number,['request']
7,4,sure ali baba is on hills road city centre,"['inform', 'offer']"
7,5,phone number,['request']
7,6,the phone number of ali baba is,"['inform', 'offer']"
7,7,okay thank you good bye,"['thankyou', 'bye']"
8,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
8,1,moderately priced restaurant in the south part of town,['inform']
8,2,pizza hut cherry hinton is a nice restaurant in the south of town in the moderate price range,"['inform', 'offer']"
8,3,addresses and phone number,['request']
8,4,you are looking for a restaurant is that right?,['confirm-domain']
8,5,yes,['affirm']
8,6,pizza hut cherry hinton is a nice restaurant in the south of town in the moderate price range,"['inform', 'offer']"
8,7,addresses and phone number,['request']
8,8,sure pizza hut cherry hinton is on g cambridge leisure park clifton way cherry hinton,"['inform', 'offer']"
8,9,thank you good bye,"['thankyou', 'bye']"
9,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
9,1,unintelligible,['null']
9,2,what part of town do you have in mind?,['request']
9,3,unintelligible,['null']
9,4,what part of town do you have in mind?,['request']
9,5,doesnt matter,['inform']
9,6,what part of town do you have in mind?,['request']
9,7,does not matter,['inform']
9,8,what part of town do you have in mind?,['request']
9,9,unintelligible,['null']
9,10,let me confirm you are looking for a restaurant in the cheap price range right?,['expl-conf']
9,11,unintelligible,['null']
9,12,let me confirm you are looking for a restaurant in the cheap price range right?,['expl-conf']
9,13,unintelligible,['null']
9,14,what part of town do you have in mind?,['request']
9,15,unintelligible,['null']
9,16,what part of town do you have in mind?,['request']
9,17,i dont care,['inform']
9,18,what kind of food would you like?,['request']
9,19,brazilian,['inform']
9,20,i m sorry but there is no restaurant serving brazilian food,['canthelp']
9,21,gastro pub,['null']
9,22,i m sorry but there is no restaurant serving cheap gastropub food,['canthelp']
9,23,how about moderately priced,"['inform', 'reqalts']"
9,24,the slug and lettuce serves gastropub food,"['inform', 'offer']"
9,25,thank you good bye,"['thankyou', 'bye']"
10,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
10,1,expensive,['inform']
10,2,what part of town do you have in mind?,['request']
10,3,none,['null']
10,4,did you say you are looking for a restaurant in the south of town?,['expl-conf']
10,5,no,['negate']
10,6,did you say you are looking for a restaurant in the south of town?,['expl-conf']
10,7,portuguese food,['inform']
10,8,what kind of food would you like?,['request']
10,9,portuguese,['inform']
10,10,i m sorry but there is no restaurant serving expensive portuguese food,['canthelp']
10,11,mediterranean,['inform']
10,12,let me confirm you are looking for a restaurant in the expensive price range right?,['expl-conf']
10,13,yes,['affirm']
10,14,i m sorry but there is no mediterranean restaurant in the south of town,['canthelp']
10,15,mediterranean,['inform']
10,16,i m sorry but there is no mediterranean restaurant in the south of town,['canthelp']
10,17,expensive,['inform']
10,18,i m sorry but there is no mediterranean restaurant in the south of town,['canthelp']
10,19,okay,['null']
10,20,i m sorry but there is no mediterranean restaurant in the south of town,['canthelp']
10,21,okay,['null']
10,22,sala thong is in the expensive price range,"['inform', 'offer']"
10,23,what type of food,['request']
10,24,sala thong serves thai food,"['inform', 'offer']"
10,25,how about mediterranean,"['inform', 'reqalts']"
10,26,la mimosa serves mediterranean food in the expensive price range,"['inform', 'offer']"
10,27,do you got an addresses,['request']
10,28,sure la mimosa is on thompsons lane fen ditton,"['inform', 'offer']"
10,29,phone number,['request']
10,30,the phone number of la mimosa is,"['inform', 'offer']"
10,31,thank you good bye,"['thankyou', 'bye']"
11,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
11,1,korean food,['inform']
11,2,what part of town do you have in mind?,['request']
11,3,i dont care,['inform']
11,4,what kind of food would you like?,['request']
11,5,korean,['inform']
11,6,little seoul serves korean food,"['inform', 'offer']"
11,7,addresses,['request']
11,8,sure little seoul is on regent street city centre,"['inform', 'offer']"
11,9,phone number,['request']
11,10,the phone number of little seoul is,"['inform', 'offer']"
11,11,thank you goodbye,"['thankyou', 'bye']"
12,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
12,1,i need a moderate priced restaurant in the north part of town,['inform']
12,2,what kind of food would you like?,['request']
12,3,any,['inform']
12,4,meghna is a nice place in the north of town and the prices are moderate,"['inform', 'offer']"
12,5,addresses,['request']
12,6,sure meghna is on victoria road chesterton,"['inform', 'offer']"
12,7,phone number,['request']
12,8,the phone number of meghna is,"['inform', 'offer']"
12,9,thank you good bye,"['thankyou', 'bye']"
13,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
13,1,i need a restaurant in the west part of town,['inform']
13,2,would you like something in the cheap moderate or expensive price range?,['request']
13,3,uh it doesnt matter,['inform']
13,4,would you like something in the cheap moderate or expensive price range?,['request']
13,5,expensive,['inform']
13,6,what kind of food would you like?,['request']
13,7,japanese,['inform']
13,8,sorry there is no expensive restaurant in the west of town serving japanese food,['canthelp']
13,9,italian,['inform']
13,10,sorry there is no expensive restaurant in the west of town serving italian food,['canthelp']
13,11,cheap,['inform']
13,12,sorry there is no expensive restaurant in the west of town serving italian food,['canthelp']
13,13,okay,['null']
13,14,sorry there is no expensive restaurant in the west of town serving italian food,['canthelp']
13,15,west,['inform']
13,16,sorry there is no expensive restaurant in the west of town serving italian food,['canthelp']
13,17,moderate,['inform']
13,18,prezzo is a nice restaurant in the west of town serving italian food,"['inform', 'offer']"
